customer_id,first_name,last_name,email,phone,address,city,state,zip_code,age,registration_date,total_orders,total_spent,customer_status
CUST00001,Helen,Anderson,customer1@email.com,251-485-8588,5601 Main St,Los Angeles,IL,67246,74,2023-07-27,6,149.72,Premium
CUST00002,Elizabeth,Hernandez,customer2@email.com,265-166-2724,5621 Main St,Phoenix,OH,62824,18,2025-04-14,38,3067.78,Inactive
CUST00003,Amanda,Rodriguez,customer3@email.com,754-214-7731,6831 Park Blvd,San Jose,GA,57714,49,2024-08-26,2,3158.6,Premium
CUST00004,Elizabeth,Miller,customer4@email.com,540-934-4931,1717 Oak Ave,San Jose,OH,72599,69,2023-09-25,27,3989.49,Inactive
CUST00005,Sarah,Martinez,customer5@email.com,993-737-5879,2313 Oak Ave,Fort Worth,WA,12242,25,2023-02-28,50,4246.6,Active
CUST00006,Matthew,Martin,customer6@email.com,665-249-1081,4019 Elm Dr,Phoenix,GA,64841,37,2024-03-17,27,2573.4,Active
CUST00007,William,Jackson,customer7@email.com,316-990-5456,693 Pine Rd,Philadelphia,IL,78581,47,2023-01-22,32,2489.04,Active
CUST00008,Robert,Garcia,customer8@email.com,894-181-7480,4347 Park Blvd,Phoenix,TX,68340,30,2025-01-12,6,809.63,Premium
CUST00009,Michelle,Gonzalez,customer9@email.com,651-728-6330,3987 Pine Rd,San Jose,NY,32576,27,2025-06-13,22,702.75,Inactive
CUST00010,Ashley,Martinez,customer10@email.com,901-116-4896,4488 Park Blvd,Columbus,NJ,46775,55,2024-07-28,10,3871.04,Premium
CUST00011,Michael,Smith,customer11@email.com,904-206-7731,1658 Park Blvd,San Antonio,CA,83189,47,2025-01-23,19,2359.7,Inactive
CUST00012,Helen,Martin,customer12@email.com,635-251-1940,2237 Elm Dr,San Diego,FL,95202,22,2023-12-18,41,1984.24,Premium
CUST00013,Helen,Garcia,customer13@email.com,636-364-5891,6720 Pine Rd,Columbus,NY,80358,77,2024-09-18,28,185.52,Inactive
CUST00014,Emily,Hernandez,customer14@email.com,460-251-9802,4162 Pine Rd,San Francisco,NY,10934,59,2024-12-04,33,3010.05,Inactive
CUST00015,Chris,Wilson,customer15@email.com,799-914-4263,7354 Main St,Los Angeles,IL,97516,47,2023-06-21,12,4167.83,Inactive
CUST00016,Robert,Williams,customer16@email.com,130-151-3913,6370 Main St,San Francisco,MA,71872,19,2024-11-27,12,2669.37,Premium
CUST00017,John,Gonzalez,customer17@email.com,424-632-6254,950 Elm Dr,Houston,NJ,16961,38,2024-11-24,17,2701.32,Active
CUST00018,Lisa,Martinez,customer18@email.com,197-319-4885,4625 Pine Rd,Columbus,MA,67964,22,2024-12-23,42,3700.03,Active
CUST00019,Lisa,Jones,customer19@email.com,749-451-6856,2670 Park Blvd,San Diego,OH,43569,43,2022-12-04,46,476.81,Inactive
CUST00020,Lisa,Taylor,customer20@email.com,625-585-6070,1417 Elm Dr,Jacksonville,OH,78729,71,2023-08-25,27,2687.14,Inactive
CUST00021,William,Miller,customer21@email.com,108-731-9974,1514 Oak Ave,Dallas,GA,79430,33,2025-02-11,32,2432.37,Premium
CUST00022,Michelle,Garcia,customer22@email.com,876-477-9245,7037 Oak Ave,San Diego,NY,79191,43,2024-05-27,12,4230.14,Inactive
CUST00023,Helen,Martin,customer23@email.com,423-477-6351,708 Park Blvd,San Diego,TX,47325,62,2023-11-08,29,2956.67,Premium
CUST00024,Sarah,Brown,customer24@email.com,206-260-9819,7545 Pine Rd,San Diego,WA,63471,35,2022-11-01,27,2850.68,Inactive
CUST00025,Richard,Brown,customer25@email.com,627-140-9760,4033 Oak Ave,Dallas,TX,35060,38,2025-06-26,5,800.98,Active
CUST00026,Jennifer,Garcia,customer26@email.com,146-547-4240,9729 Park Blvd,San Antonio,NJ,64861,29,2023-11-18,23,3474.33,Active
CUST00027,Daniel,Moore,customer27@email.com,558-802-4217,3558 Main St,Los Angeles,VA,80675,71,2023-03-01,7,4729.21,Inactive
CUST00028,Daniel,Davis,customer28@email.com,859-372-6732,5782 Elm Dr,San Francisco,GA,97792,44,2024-02-06,38,2766.04,Inactive
CUST00029,Michelle,Lopez,customer29@email.com,971-104-3013,9973 Main St,Houston,IL,74535,48,2024-03-20,23,4100.68,Active
CUST00030,Lisa,Gonzalez,customer30@email.com,985-989-3823,9404 Pine Rd,Columbus,TX,53223,63,2023-04-04,44,820.34,Active
CUST00031,James,Rodriguez,customer31@email.com,827-719-9462,3903 Pine Rd,Austin,NY,26916,41,2023-06-21,28,2262.84,Inactive
CUST00032,Jessica,Moore,customer32@email.com,162-540-1520,9712 Main St,San Francisco,WA,22547,78,2024-06-23,11,2115.43,Active
CUST00033,Lisa,Williams,customer33@email.com,199-532-1385,2094 Pine Rd,Austin,MA,40413,54,2023-05-02,16,1313.56,Active
CUST00034,Helen,Martin,customer34@email.com,371-869-8677,5902 Park Blvd,Chicago,FL,88126,47,2025-03-17,8,3591.72,Inactive
CUST00035,David,Wilson,customer35@email.com,889-716-7250,6353 Park Blvd,San Antonio,PA,62385,33,2022-11-17,33,3040.91,Inactive
CUST00036,Jennifer,Brown,customer36@email.com,717-883-3385,3080 Park Blvd,Phoenix,CA,58213,30,2023-08-25,9,4713.77,Inactive
CUST00037,William,Smith,customer37@email.com,584-974-1624,4837 Oak Ave,Philadelphia,IL,15740,45,2023-02-24,12,2133.43,Inactive
CUST00038,Matthew,Jackson,customer38@email.com,465-674-5468,6104 Main St,Philadelphia,PA,35835,21,2025-07-03,36,3417.13,Active
CUST00039,Ashley,Moore,customer39@email.com,283-369-2900,7269 Park Blvd,San Jose,TX,93263,48,2023-11-11,14,940.7,Premium
CUST00040,Lisa,Smith,customer40@email.com,190-344-9269,574 Main St,Fort Worth,WA,24785,46,2024-02-10,22,3335.61,Premium
CUST00041,John,Martinez,customer41@email.com,526-301-7829,2143 Main St,Jacksonville,TX,96171,25,2023-08-12,17,3478.21,Premium
CUST00042,Amanda,Taylor,customer42@email.com,383-539-5689,9849 Park Blvd,Fort Worth,PA,66528,32,2025-01-19,20,3930.67,Inactive
CUST00043,Lisa,Thomas,customer43@email.com,610-623-3552,2451 Pine Rd,New York,FL,95354,37,2023-06-20,7,2059.73,Premium
CUST00044,Lisa,Anderson,customer44@email.com,885-382-3688,5716 Pine Rd,Columbus,VA,48707,61,2023-01-24,16,3007.61,Premium
CUST00045,Michael,Davis,customer45@email.com,633-346-6581,8670 Elm Dr,San Diego,PA,24295,64,2022-11-25,5,3532.64,Inactive
CUST00046,Sarah,Gonzalez,customer46@email.com,457-593-4153,563 Pine Rd,San Jose,GA,88325,60,2024-06-12,35,1196.53,Premium
CUST00047,Jennifer,Williams,customer47@email.com,960-931-2231,7714 Elm Dr,Jacksonville,NJ,50007,79,2023-02-18,33,3611.56,Premium
CUST00048,Lisa,Anderson,customer48@email.com,582-983-3811,9829 Pine Rd,Los Angeles,MI,14795,77,2025-01-20,29,4283.59,Active
CUST00049,Chris,Rodriguez,customer49@email.com,554-719-6056,1256 Elm Dr,Austin,NC,96448,72,2024-04-13,48,1279.15,Premium
CUST00050,Robert,Williams,customer50@email.com,278-875-8287,4736 Main St,Jacksonville,TX,81124,67,2024-04-18,8,4412.45,Inactive
CUST00051,Sarah,Martin,customer51@email.com,392-383-5587,6627 Oak Ave,New York,FL,94754,63,2023-03-15,16,355.36,Inactive
CUST00052,Robert,Taylor,customer52@email.com,352-146-3627,962 Main St,Austin,IL,66226,60,2024-07-22,14,492.69,Active
CUST00053,Michelle,Hernandez,customer53@email.com,533-433-4030,7333 Elm Dr,San Diego,AZ,45921,68,2024-05-22,17,105.98,Premium
CUST00054,Chris,Wilson,customer54@email.com,287-634-8305,8221 Pine Rd,Dallas,TX,91632,18,2024-04-05,18,1684.34,Premium
CUST00055,Jennifer,Garcia,customer55@email.com,732-259-5777,6089 Main St,San Antonio,CA,47614,71,2023-06-09,38,4922.78,Active
CUST00056,Helen,Rodriguez,customer56@email.com,612-433-5041,5109 Pine Rd,San Diego,MI,99989,39,2023-07-17,8,2186.04,Active
CUST00057,William,Gonzalez,customer57@email.com,740-830-2055,6564 Oak Ave,Fort Worth,NJ,11192,48,2024-01-21,41,2730.2,Premium
CUST00058,James,Martin,customer58@email.com,101-670-8307,3482 Main St,Fort Worth,FL,86273,29,2024-02-24,34,2858.54,Active
CUST00059,Sarah,Gonzalez,customer59@email.com,168-811-2851,5281 Pine Rd,Fort Worth,NC,11077,75,2024-07-19,37,464.55,Premium
CUST00060,Elizabeth,Moore,customer60@email.com,270-933-9629,6290 Elm Dr,Fort Worth,MA,57946,71,2024-04-30,43,593.8,Active
CUST00061,Ashley,Taylor,customer61@email.com,525-368-3634,6470 Park Blvd,Austin,MA,51162,29,2023-09-13,16,1078.91,Inactive
CUST00062,Michael,Anderson,customer62@email.com,741-229-8031,9698 Park Blvd,Fort Worth,CA,95366,23,2025-06-06,32,621.06,Inactive
CUST00063,Lisa,Miller,customer63@email.com,157-701-3112,8167 Oak Ave,Fort Worth,GA,24166,72,2023-10-25,22,3470.66,Active
CUST00064,Richard,Garcia,customer64@email.com,466-363-6206,6291 Oak Ave,San Francisco,FL,72730,62,2023-02-07,1,1933.9,Premium
CUST00065,William,Jackson,customer65@email.com,628-491-6457,1616 Pine Rd,Chicago,GA,43615,30,2024-11-07,9,1745.81,Premium
CUST00066,Ashley,Martinez,customer66@email.com,474-808-4425,6493 Elm Dr,San Diego,TX,73398,42,2025-01-31,27,1391.67,Premium
CUST00067,Lisa,Thomas,customer67@email.com,866-308-4871,830 Oak Ave,Dallas,FL,49433,54,2025-03-06,9,4131.71,Active
CUST00068,Richard,Martinez,customer68@email.com,516-560-3197,9298 Elm Dr,Columbus,MI,25472,75,2024-11-19,32,4413.63,Active
CUST00069,John,Martin,customer69@email.com,455-920-5516,3559 Oak Ave,San Jose,CA,37893,45,2023-03-14,28,4714.49,Inactive
CUST00070,Michael,Smith,customer70@email.com,141-300-2918,3387 Main St,San Antonio,WA,41985,74,2024-01-24,30,2949.51,Premium
CUST00071,Richard,Hernandez,customer71@email.com,481-767-9680,3269 Oak Ave,Fort Worth,FL,31009,73,2022-12-31,36,348.28,Premium
CUST00072,James,Lopez,customer72@email.com,976-860-3880,5361 Park Blvd,Los Angeles,CA,74982,18,2024-11-19,50,4687.35,Inactive
CUST00073,Michael,Garcia,customer73@email.com,631-728-5571,1324 Elm Dr,Fort Worth,MA,39263,22,2025-01-02,21,1496.09,Premium
CUST00074,Michelle,Williams,customer74@email.com,865-921-6204,1691 Elm Dr,Phoenix,TX,23726,30,2024-07-29,6,1451.99,Premium
CUST00075,Amanda,Martin,customer75@email.com,321-570-9687,6276 Oak Ave,Jacksonville,IL,12059,78,2023-05-14,29,4946.76,Premium
CUST00076,Matthew,Davis,customer76@email.com,870-651-5925,3902 Oak Ave,San Jose,FL,86817,43,2023-06-20,18,4301.57,Inactive
CUST00077,Richard,Gonzalez,customer77@email.com,397-511-3118,5679 Park Blvd,Austin,VA,71013,73,2023-09-01,40,3253.24,Inactive
CUST00078,Daniel,Thomas,customer78@email.com,964-408-9989,8139 Pine Rd,Chicago,OH,66485,36,2024-06-25,17,4555.98,Premium
CUST00079,Emily,Jackson,customer79@email.com,231-418-1376,8199 Main St,San Francisco,CA,37665,57,2024-04-14,29,4557.27,Premium
CUST00080,Chris,Davis,customer80@email.com,229-635-4204,5977 Main St,San Francisco,VA,25825,77,2023-03-01,4,3327.61,Inactive
CUST00081,Jennifer,Gonzalez,customer81@email.com,273-651-6317,1304 Oak Ave,Fort Worth,MI,73411,47,2022-11-16,42,2541.53,Premium
CUST00082,Michelle,Martinez,customer82@email.com,940-903-8757,576 Oak Ave,Jacksonville,NY,19344,72,2024-12-07,4,4894.6,Active
CUST00083,Ashley,Hernandez,customer83@email.com,621-481-7062,6786 Pine Rd,San Diego,PA,96383,26,2025-05-25,5,3249.91,Premium
CUST00084,William,Smith,customer84@email.com,730-500-4903,9713 Oak Ave,Los Angeles,TX,74219,71,2023-12-24,41,4242.38,Active
CUST00085,Emily,Williams,customer85@email.com,909-735-4468,2592 Park Blvd,San Francisco,WA,35677,44,2024-06-27,6,1797.05,Active
CUST00086,Matthew,Johnson,customer86@email.com,154-387-1915,9674 Oak Ave,New York,NC,86538,42,2025-06-25,5,3786.55,Active
CUST00087,Sarah,Wilson,customer87@email.com,122-912-6790,7491 Elm Dr,San Jose,AZ,38295,69,2025-01-29,13,753.15,Premium
CUST00088,John,Miller,customer88@email.com,399-643-6261,5826 Park Blvd,San Francisco,NC,12507,69,2023-07-11,29,4913.1,Premium
CUST00089,William,Gonzalez,customer89@email.com,221-631-3035,7986 Main St,Dallas,NJ,61627,54,2024-01-19,26,2523.31,Inactive
CUST00090,John,Lopez,customer90@email.com,176-732-3103,8350 Oak Ave,Los Angeles,IL,52430,57,2024-12-26,34,2389.18,Active
CUST00091,Sarah,Moore,customer91@email.com,762-154-8675,993 Elm Dr,Houston,MA,24572,24,2025-03-12,20,2854.12,Inactive
CUST00092,Ashley,Williams,customer92@email.com,550-824-9193,6296 Oak Ave,Los Angeles,FL,71808,67,2023-08-13,36,4431.18,Premium
CUST00093,Matthew,Jackson,customer93@email.com,847-754-8950,830 Main St,San Francisco,NC,52214,70,2025-03-20,9,1152.14,Active
CUST00094,Jennifer,Hernandez,customer94@email.com,522-706-7540,7994 Pine Rd,Fort Worth,NC,86070,54,2024-02-09,27,3056.91,Premium
CUST00095,Jessica,Martinez,customer95@email.com,648-248-8018,494 Pine Rd,Houston,VA,74880,21,2024-10-15,35,1778.74,Premium
CUST00096,John,Brown,customer96@email.com,609-900-7820,4972 Main St,Houston,PA,95595,35,2024-02-09,0,251.15,Active
CUST00097,Elizabeth,Gonzalez,customer97@email.com,925-949-7346,7534 Oak Ave,Chicago,WA,89682,25,2023-06-18,8,1994.38,Active
CUST00098,Richard,Thomas,customer98@email.com,627-989-6133,3589 Park Blvd,Austin,MI,49276,21,2023-11-19,44,3758.37,Active
CUST00099,Chris,Garcia,customer99@email.com,700-712-5436,993 Elm Dr,Phoenix,MI,25710,69,2024-10-09,34,1319.21,Active
CUST00100,William,Hernandez,customer100@email.com,858-612-6520,8664 Pine Rd,San Diego,TX,68676,27,2024-01-28,32,4539.59,Inactive
CUST00101,David,Martin,customer101@email.com,681-145-6649,6628 Main St,Jacksonville,OH,69730,52,2023-03-29,10,3000.02,Inactive
CUST00102,Jennifer,Williams,customer102@email.com,132-475-9159,5282 Oak Ave,Fort Worth,MA,15293,28,2025-02-20,48,1650.89,Premium
CUST00103,Jennifer,Garcia,customer103@email.com,600-293-6491,2260 Oak Ave,Chicago,IL,69106,67,2025-04-27,3,1537.29,Premium
CUST00104,James,Garcia,customer104@email.com,231-872-2515,4325 Pine Rd,San Antonio,GA,61212,46,2024-12-27,49,2175.9,Active
CUST00105,John,Smith,customer105@email.com,945-875-2828,7464 Pine Rd,Dallas,PA,90695,73,2023-07-01,36,3216.77,Premium
CUST00106,David,Wilson,customer106@email.com,394-258-7210,6389 Park Blvd,Phoenix,AZ,34835,40,2023-11-22,36,3344.02,Active
CUST00107,Michelle,Jackson,customer107@email.com,260-743-1013,1053 Oak Ave,Chicago,CA,24719,34,2023-07-26,19,2182.03,Premium
CUST00108,Matthew,Smith,customer108@email.com,881-304-5835,3673 Park Blvd,San Antonio,VA,86937,27,2025-07-19,39,936.63,Inactive
CUST00109,James,Lopez,customer109@email.com,337-302-7054,9853 Main St,San Francisco,NY,23152,78,2025-03-18,14,3940.94,Premium
CUST00110,Ashley,Thomas,customer110@email.com,116-433-3723,8639 Oak Ave,San Jose,NC,23502,49,2022-12-14,0,2023.03,Inactive
CUST00111,Sarah,Lopez,customer111@email.com,901-147-4902,9639 Pine Rd,Columbus,WA,40816,54,2023-03-27,11,2147.73,Premium
CUST00112,Chris,Taylor,customer112@email.com,215-331-5654,3406 Pine Rd,San Jose,TX,76572,36,2025-02-15,31,45.07,Premium
CUST00113,William,Jackson,customer113@email.com,467-632-9966,7282 Main St,Columbus,TX,13770,59,2025-01-06,33,376.12,Premium
CUST00114,Michael,Anderson,customer114@email.com,193-615-1962,4826 Pine Rd,Los Angeles,PA,56640,24,2023-12-18,44,3519.47,Inactive
CUST00115,Matthew,Garcia,customer115@email.com,181-911-6082,2874 Park Blvd,San Francisco,WA,31215,26,2023-07-13,12,4305.75,Inactive
CUST00116,Daniel,Gonzalez,customer116@email.com,140-959-3896,4564 Elm Dr,San Diego,TX,59278,66,2024-03-11,27,1887.34,Premium
CUST00117,Lisa,Moore,customer117@email.com,426-135-7716,3044 Oak Ave,Jacksonville,CA,59347,33,2025-06-23,49,4262.15,Premium
CUST00118,Matthew,Lopez,customer118@email.com,415-120-9269,454 Park Blvd,Philadelphia,PA,17120,23,2024-12-20,41,3077.43,Premium
CUST00119,Matthew,Thomas,customer119@email.com,349-287-6080,5635 Oak Ave,Dallas,NC,96690,50,2024-12-03,24,2881.12,Active
CUST00120,John,Brown,customer120@email.com,258-307-1176,4906 Park Blvd,Phoenix,PA,62853,55,2025-03-21,36,170.12,Premium
CUST00121,Emily,Jones,customer121@email.com,185-981-2529,3472 Park Blvd,Columbus,IL,54266,31,2023-08-31,42,3286.11,Inactive
CUST00122,Michael,Hernandez,customer122@email.com,515-742-8580,7198 Oak Ave,Phoenix,VA,55047,22,2024-04-22,21,4816.78,Active
CUST00123,Lisa,Smith,customer123@email.com,710-196-3944,2199 Main St,Philadelphia,OH,92830,37,2024-01-16,3,3165.09,Inactive
CUST00124,Matthew,Garcia,customer124@email.com,133-680-3209,7829 Main St,Dallas,MI,72170,25,2023-12-30,14,2554.7,Premium
CUST00125,James,Williams,customer125@email.com,419-391-7464,1669 Oak Ave,San Diego,NJ,25152,48,2023-12-07,29,1278.03,Active
CUST00126,Ashley,Smith,customer126@email.com,984-551-9562,4290 Park Blvd,Austin,MI,70942,60,2024-11-16,25,2037.24,Inactive
CUST00127,Matthew,Lopez,customer127@email.com,629-495-4060,4696 Pine Rd,Austin,NY,58011,58,2025-06-29,13,1059.61,Inactive
CUST00128,Matthew,Brown,customer128@email.com,618-411-4310,9109 Oak Ave,Fort Worth,IL,44297,37,2023-01-17,28,2880.99,Inactive
CUST00129,Chris,Garcia,customer129@email.com,452-722-8284,5136 Pine Rd,Phoenix,VA,49464,48,2025-03-15,7,3537.17,Premium
CUST00130,Lisa,Smith,customer130@email.com,917-973-2069,4275 Park Blvd,Jacksonville,FL,12799,48,2023-11-22,7,1414.59,Inactive
CUST00131,Elizabeth,Brown,customer131@email.com,779-770-2814,6270 Elm Dr,Houston,NY,53554,20,2022-12-17,36,3509.66,Premium
CUST00132,Robert,Williams,customer132@email.com,963-314-9531,9808 Oak Ave,Austin,PA,81200,21,2024-03-17,38,4925.64,Inactive
CUST00133,Jennifer,Smith,customer133@email.com,599-442-2681,5909 Elm Dr,San Jose,TX,58553,67,2024-12-20,43,4198.52,Active
CUST00134,Michael,Lopez,customer134@email.com,846-113-9901,9191 Main St,Dallas,CA,44949,56,2023-10-30,3,3073.83,Premium
CUST00135,Matthew,Miller,customer135@email.com,438-951-1030,7898 Main St,Los Angeles,VA,48721,59,2023-07-05,32,290.89,Active
CUST00136,Robert,Smith,customer136@email.com,800-870-8170,8416 Pine Rd,Fort Worth,NY,15451,30,2022-12-17,1,787.91,Premium
CUST00137,Richard,Miller,customer137@email.com,514-591-9233,6955 Pine Rd,San Antonio,VA,94849,25,2024-08-10,20,448.44,Active
CUST00138,Lisa,Brown,customer138@email.com,607-130-9340,260 Oak Ave,San Antonio,TX,85244,39,2025-03-11,0,598.26,Inactive
CUST00139,Richard,Jones,customer139@email.com,599-763-1419,4528 Oak Ave,San Antonio,FL,24445,73,2022-10-27,12,1760.02,Premium
CUST00140,Michelle,Wilson,customer140@email.com,430-742-6099,5342 Elm Dr,Dallas,MI,42688,68,2024-02-21,29,3645.92,Premium
CUST00141,Elizabeth,Smith,customer141@email.com,475-377-3353,7222 Main St,San Diego,GA,39728,47,2023-02-05,20,4679.07,Premium
CUST00142,Helen,Miller,customer142@email.com,769-167-6855,9054 Elm Dr,Chicago,PA,57721,27,2025-06-26,49,4205.14,Inactive
CUST00143,Robert,Jackson,customer143@email.com,181-942-2441,1545 Pine Rd,Los Angeles,TX,30420,32,2023-10-09,36,1664.21,Premium
CUST00144,Amanda,Williams,customer144@email.com,587-562-1994,8615 Elm Dr,Jacksonville,CA,55849,36,2023-02-08,45,4389.21,Inactive
CUST00145,Jessica,Davis,customer145@email.com,276-439-6050,4027 Park Blvd,Columbus,WA,20722,31,2024-06-07,50,2744.47,Active
CUST00146,Ashley,Brown,customer146@email.com,328-221-7249,1639 Oak Ave,Columbus,AZ,63029,20,2025-07-11,6,2228.34,Active
CUST00147,Robert,Thomas,customer147@email.com,219-483-8530,835 Pine Rd,Houston,IL,84477,24,2025-03-08,10,3671.08,Inactive
CUST00148,Richard,Lopez,customer148@email.com,411-245-6391,8710 Pine Rd,Columbus,CA,63821,36,2023-12-30,23,2005.08,Active
CUST00149,Lisa,Thomas,customer149@email.com,407-450-7667,5773 Pine Rd,San Jose,CA,25854,62,2023-05-29,11,4982.07,Inactive
CUST00150,James,Brown,customer150@email.com,306-609-1572,8280 Elm Dr,Austin,NC,55182,41,2023-11-19,26,907.3,Active
CUST00151,James,Jones,customer151@email.com,384-995-6826,5268 Elm Dr,Jacksonville,GA,55449,63,2025-06-05,44,4202.64,Premium
CUST00152,Emily,Brown,customer152@email.com,581-502-4012,4254 Park Blvd,Chicago,PA,99185,43,2023-09-10,48,1488.87,Premium
CUST00153,Emily,Williams,customer153@email.com,653-279-6806,5947 Elm Dr,Chicago,VA,61256,63,2025-05-23,40,557.84,Active
CUST00154,John,Gonzalez,customer154@email.com,798-141-3699,1131 Elm Dr,Jacksonville,MI,13511,50,2022-10-26,17,1446.91,Active
CUST00155,Lisa,Hernandez,customer155@email.com,361-112-5825,441 Oak Ave,Phoenix,MA,27798,40,2024-05-18,31,330.01,Inactive
CUST00156,Richard,Garcia,customer156@email.com,301-246-4602,9834 Pine Rd,San Antonio,CA,30068,40,2024-03-22,26,869.24,Premium
CUST00157,Elizabeth,Williams,customer157@email.com,329-386-8219,927 Park Blvd,Houston,MA,55056,22,2023-10-25,23,4209.75,Active
CUST00158,Elizabeth,Anderson,customer158@email.com,619-986-4108,5227 Elm Dr,Philadelphia,TX,32350,80,2023-02-16,50,4760.07,Active
CUST00159,Michelle,Garcia,customer159@email.com,977-967-6808,8435 Pine Rd,Fort Worth,TX,51399,23,2024-10-08,23,202.27,Premium
CUST00160,Ashley,Taylor,customer160@email.com,454-796-4567,688 Park Blvd,San Jose,NY,56748,50,2024-01-03,11,300.43,Active
CUST00161,Helen,Rodriguez,customer161@email.com,923-854-8865,9049 Oak Ave,Philadelphia,NJ,94157,36,2025-03-06,5,4368.36,Active
CUST00162,Michelle,Garcia,customer162@email.com,630-235-4917,5585 Park Blvd,Philadelphia,TX,55489,50,2024-09-22,46,2452.86,Premium
CUST00163,Amanda,Lopez,customer163@email.com,810-245-5739,5190 Main St,San Francisco,WA,13154,70,2023-05-08,9,4449.69,Active
CUST00164,Daniel,Thomas,customer164@email.com,741-462-1758,2884 Elm Dr,Columbus,MI,59397,48,2023-04-11,4,876.49,Inactive
CUST00165,Sarah,Anderson,customer165@email.com,135-224-2122,3295 Oak Ave,Chicago,VA,22444,54,2025-01-23,15,1868.93,Inactive
CUST00166,Ashley,Taylor,customer166@email.com,894-395-8481,2906 Elm Dr,San Jose,PA,72694,29,2023-01-19,0,189.4,Active
CUST00167,John,Davis,customer167@email.com,158-317-6935,733 Park Blvd,New York,IL,14695,59,2025-03-25,8,385.73,Premium
CUST00168,David,Hernandez,customer168@email.com,161-468-8539,7481 Park Blvd,Columbus,MA,99679,72,2023-11-24,34,4629.76,Inactive
CUST00169,Helen,Thomas,customer169@email.com,867-582-6054,5123 Elm Dr,Los Angeles,CA,46862,41,2023-05-12,15,764.0,Active
CUST00170,Sarah,Williams,customer170@email.com,280-224-5301,7020 Elm Dr,San Antonio,IL,32257,80,2023-10-13,49,880.06,Inactive
CUST00171,Jessica,Taylor,customer171@email.com,488-641-2392,1262 Elm Dr,Jacksonville,MI,80868,57,2022-10-29,9,1898.18,Active
CUST00172,Chris,Anderson,customer172@email.com,571-501-5314,6175 Main St,San Antonio,WA,27378,45,2025-04-25,5,1127.18,Inactive
CUST00173,Jessica,Hernandez,customer173@email.com,887-708-8557,1362 Main St,San Antonio,NC,74516,62,2024-05-05,22,2336.26,Premium
CUST00174,Matthew,Lopez,customer174@email.com,382-701-8335,8831 Main St,Philadelphia,MA,65079,52,2025-07-16,0,305.91,Inactive
CUST00175,Amanda,Gonzalez,customer175@email.com,208-332-6152,129 Elm Dr,New York,MI,45739,38,2024-11-16,23,623.79,Inactive
CUST00176,Jennifer,Rodriguez,customer176@email.com,490-467-2415,8283 Park Blvd,San Diego,MI,85893,63,2023-03-06,48,3648.23,Premium
CUST00177,Chris,Garcia,customer177@email.com,920-151-1716,8846 Pine Rd,New York,FL,99672,77,2024-02-24,15,4730.21,Active
CUST00178,Elizabeth,Garcia,customer178@email.com,823-268-3533,2028 Elm Dr,Dallas,IL,87174,57,2024-09-27,44,178.24,Inactive
CUST00179,Matthew,Garcia,customer179@email.com,310-712-1826,7831 Park Blvd,Chicago,NY,91685,27,2023-09-24,49,1183.82,Premium
CUST00180,Robert,Miller,customer180@email.com,369-440-6441,6214 Elm Dr,Columbus,MA,94289,32,2023-09-27,14,2590.3,Inactive
CUST00181,Jennifer,Jackson,customer181@email.com,232-792-3841,9942 Elm Dr,Chicago,VA,57469,57,2023-05-19,41,3094.66,Premium
CUST00182,Sarah,Garcia,customer182@email.com,837-663-8260,5443 Pine Rd,San Antonio,NJ,33663,49,2023-11-19,15,806.65,Inactive
CUST00183,William,Hernandez,customer183@email.com,961-554-6915,9764 Pine Rd,Austin,TX,29213,58,2024-05-24,19,4667.75,Premium
CUST00184,Jessica,Rodriguez,customer184@email.com,551-967-2017,5411 Park Blvd,San Jose,NJ,29578,37,2023-11-14,15,2168.54,Premium
CUST00185,Jessica,Miller,customer185@email.com,599-129-5513,1695 Pine Rd,Philadelphia,MI,44613,38,2023-02-26,26,1522.16,Inactive
CUST00186,Lisa,Martin,customer186@email.com,856-710-4033,5731 Elm Dr,San Diego,TX,98985,54,2023-07-26,2,1681.76,Premium
CUST00187,Matthew,Hernandez,customer187@email.com,989-869-2926,5851 Pine Rd,Columbus,IL,50573,44,2023-02-15,45,8.69,Premium
CUST00188,Sarah,Garcia,customer188@email.com,635-683-2823,2076 Main St,Fort Worth,MA,12433,65,2022-12-29,10,4071.47,Inactive
CUST00189,Michelle,Smith,customer189@email.com,768-872-7071,533 Park Blvd,Austin,NJ,57384,52,2024-03-27,29,4143.77,Inactive
CUST00190,Ashley,Martinez,customer190@email.com,793-594-2936,7617 Oak Ave,San Jose,GA,11835,20,2024-03-01,27,476.88,Premium
CUST00191,Michael,Moore,customer191@email.com,747-123-4195,760 Park Blvd,San Diego,FL,45823,30,2024-12-02,36,3856.29,Premium
CUST00192,Lisa,Thomas,customer192@email.com,469-923-7927,2242 Elm Dr,San Antonio,NY,86720,48,2023-12-06,18,4577.14,Premium
CUST00193,Jessica,Anderson,customer193@email.com,985-761-2607,9211 Pine Rd,Columbus,MA,87887,53,2023-01-26,23,1780.0,Active
CUST00194,Robert,Williams,customer194@email.com,338-703-7203,6609 Park Blvd,Philadelphia,AZ,88192,40,2023-01-26,18,4212.99,Inactive
CUST00195,John,Thomas,customer195@email.com,132-700-8819,4814 Park Blvd,Houston,CA,94656,43,2024-07-28,14,540.78,Active
